Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
10/02/2012,Credit card,,Credit reporting,,,,CAPITAL ONE FINANCIAL CORPORATION,ND,58103,,N/A,Web,10/03/2012,Closed,Yes,Yes,164875
9/16/15,Mortgage,Other mortgage,Other,,,Company chooses not to provide a public response,"CITIBANK, N.A.",VA,22151,,N/A,Postal mail,9/17/15,Closed with explanation,Yes,No,1567309
2/25/17,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"The CBE Group, Inc.",PA,19139,,Consent not provided,Web,2/25/17,Closed with explanation,Yes,No,2360953
08/02/2016,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,NISSAN MOTOR ACCEPTANCE CORPORATION,NY,11229,,N/A,Phone,9/21/16,Closed with explanation,Yes,No,2043110
10/02/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"CITIBANK, N.A.",TX,77053,,N/A,Web,10/03/2012,Closed with explanation,Yes,No,164819
11/04/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",LA,71211,Older American,Consent not provided,Web,11/08/2016,Closed with non-monetary relief,Yes,No,2195634
8/27/15,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",NJ,7501,,N/A,Referral,09/11/2015,Closed with explanation,Yes,No,1541148
11/04/2015,Credit card,,Advertising and marketing,,I signed up for an American Express Delta card that would issue me XXXX mioles if I charged more that {$1000.00} in the first three months. I more than exceeded that and have wrote them three times to get my miles. I have the terms and conditions which do not specify if you have ever had the card before. I have never got a response bsck from them.,,AMERICAN EXPRESS COMPANY,AL,357XX,,Consent provided,Web,11/04/2015,Closed with explanation,Yes,No,1640080
03/07/2017,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"HOVG, LLC",CA,92806,,N/A,Phone,03/07/2017,Closed with explanation,Yes,No,2375110
9/15/14,Credit reporting,,Incorrect information on credit report,Public record,,,FIRST ADVANTAGE CORPORATION,PA,16347,,N/A,Web,9/15/14,Closed with explanation,Yes,No,1029112
2/20/12,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,10003,,N/A,Web,2/22/12,Closed with relief,Yes,No,24976
9/29/13,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,"EQUIFAX, INC.",NY,10462,,N/A,Web,9/30/13,Closed with non-monetary relief,Yes,No,546662
4/25/12,Credit card,,Credit reporting,,,,SYNCHRONY FINANCIAL,FL,34638,,N/A,Postal mail,4/30/12,Closed without relief,Yes,No,65091
9/27/16,Credit card,,Billing disputes,,"A company I hired to do business for me did not deliver the promised product. I disputed with my credit card company and instead of handling it as a dispute they handled it as fraud. Refusing to handle it as the dispute I had filed. I checked today and they still show the dispute open. I found out that Citi has a habit of handling a disputed charge as fraud in order to avoid giving the consumer their money back. This is not right. On XXXX Citi acknowledged that I filed a dispute ( attached ) and today they still show this dispute open ( also attached ) I only attached the information for the {$4200.00} but also have all the documents for the XXXX {$700.00} charges, which they also mishandled and not in a timely fashion. I filed disputes in XXXX XXXX and in XXXX XXXX you will see they were still open ( attached ). XXXX lady told me they had sent the money back to the vendor and I would never see my money because Citi made a mistake. PLEASE I BEG YOU if you need anymore documents PLEASE let me know - I have hundreds of pages showing they handled by dispute improperly and I can back up everything I am saying in the letter I did attach and more.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,919XX,,Consent provided,Web,9/27/16,Closed with explanation,Yes,No,2130702
01/05/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,"I have a XXXX account which was reported by TransUnion for {$540.00} on XXXX XXXX, XXXX. The current fees is {$550.00} from a citation processing center whick I know nothing about. However these collections were posted on my credit report on XXXX XXXX, XXXX. This is a serious matter that conflicts with my credit score.",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,925XX,,Consent provided,Web,01/11/2016,Closed with explanation,Yes,No,1728363
10/24/14,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,FL,33928,,N/A,Web,10/29/14,Closed with explanation,No,No,1085296
1/15/14,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,"CITIBANK, N.A.",CA,91403,,N/A,Web,1/15/14,Closed with explanation,Yes,No,670678
1/30/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,AR,72903,,N/A,Web,1/30/15,Closed with non-monetary relief,Yes,No,1217815
12/24/13,Bank account or service,Checking account,Using a debit or ATM card,,,,WELLS FARGO & COMPANY,NJ,7087,,N/A,Web,12/24/13,Closed with explanation,Yes,No,644584
05/07/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,DISCOVER BANK,OH,44606,,N/A,Web,05/07/2014,Closed with explanation,Yes,No,842227
10/12/2016,Credit card,,Credit card protection / Debt protection,,"On XXXX XXXX, 2016, around XXXX eastern time, a {$500.00} unauthorized withdrawal in my debit card was taken. Upon checking my balance, i called my bank & was transfer to the dispute department to file a case. After filing the report over by the phone, XXXX the dispute department, instructed me to file a police report. Filed the police report on the same day forward confirmation back to XXXX. When i ask for my money to be credited ASAP, i was transfer to different people, nobody was able to help me even though i told them that the money was for my rent, rent that is due and might be evicted if not paid within 3 days. I was told repeatedly that they ca n't do anything for me. I was really frustrated and hopeless. I was a loyal customer with this bank and they would n't do anything to help me. I feel something wrong was done to me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,920XX,,Consent provided,Web,10/12/2016,Closed with explanation,Yes,No,2157431
9/16/16,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,I had some one that has use my name,Company believes it acted appropriately as authorized by contract or law,AmeriCollect,PA,191XX,Servicemember,Consent provided,Web,9/20/16,Closed with explanation,Yes,No,2116937
2/27/17,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,,Consent not provided,Web,03/06/2017,Closed with explanation,Yes,No,2362486
01/11/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,REGIONS FINANCIAL CORPORATION,FL,33035,,N/A,Referral,1/16/13,Closed with explanation,Yes,No,228528
9/30/14,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,,,ENCORE CAPITAL GROUP INC.,NJ,7018,,N/A,Web,10/08/2014,Closed with non-monetary relief,Yes,No,1050620
01/02/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NV,89129,,N/A,Fax,01/06/2014,Closed with explanation,Yes,Yes,652243
8/18/16,Credit card,,Customer service / Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TN,38133,,Consent not provided,Web,8/18/16,Closed with explanation,Yes,No,2070015
1/17/13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,81003,,N/A,Referral,1/18/13,Closed with explanation,Yes,No,240288
03/07/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,IN,47331,,N/A,Phone,03/07/2017,Closed with explanation,Yes,No,2376053
3/18/16,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,MT,59718,Older American,N/A,Postal mail,3/18/16,Closed with explanation,Yes,No,1838446
6/19/15,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company chooses not to provide a public response,Experian Information Solutions Inc.,OR,97267,,Consent not provided,Web,6/19/15,Closed with non-monetary relief,Yes,No,1429711
6/24/15,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,CA,900XX,,Other,Web,7/30/15,Closed with explanation,Yes,No,1435244
04/07/2017,Credit card,,Other fee,,"I am XXXX XXXX military I was given a Barclaycard gold master card under the condition of 0 % APR and annual fee waiver. Recently they have told me they are going to no longer honor this condition. I asked Barclaycard if I would continued to receive this benefit in XXXX when they removed the annual fee waiver for new applicants, and they said I would. I have the concersafion with Barclaycard saying I would continue to receive these benefits.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,AE,096XX,Servicemember,Consent provided,Web,04/07/2017,Closed with explanation,Yes,No,2425183
10/17/13,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,ME,4076,,N/A,Web,10/18/13,Closed with explanation,Yes,No,561075
11/17/16,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,32168,,N/A,Referral,11/18/16,Closed with explanation,Yes,Yes,2213641
03/06/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,"HUNTINGTON NATIONAL BANK, THE",OH,45209,,Consent not provided,Web,03/06/2017,Closed with explanation,Yes,No,2374088
8/26/15,Bank account or service,Checking account,Using a debit or ATM card,,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,CA,95501,,Consent not provided,Web,8/26/15,Closed with monetary relief,Yes,Yes,1536671
1/29/15,Bank account or service,Checking account,Problems caused by my funds being low,,,,WELLS FARGO & COMPANY,AZ,85719,Servicemember,N/A,Web,1/29/15,Closed,Yes,No,1217634
11/27/12,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. BANCORP,CO,80123,,N/A,Referral,12/03/2012,Closed with explanation,Yes,No,198384
