Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
02/09/2016,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,This is an update with additional information in reference to a case I already have open with CFPB. It 's [ Case number : XXXX ] Around XXXX on XXXX XXXX 2016 Clay from Ashton & Weinberg called my dad & asked him if I was his daughter or daughter in law. After my dad told him I was his daughter. He proceeded to ask my dad if I am on his mortgage. My dad stated he is not going to talk about this information with him. He told my dad this is in reference to a civil suit. My dad said my daughter had already spoke with me & said what you are doing is illegal. XXXX offered his number to my dad but my dad was driving & declined. He called my dad again two more times on XXXX seperate occassions. He left a voice mail with my information along with his name & number for me to call him on my dads voicemail. The second time my dad answered again he was questioning about me & asked if I planned on settling this issue. First off they should n't be calling my dad let alot asking him questions regrading it. This is harassment & needs to stop.,Company believes it acted appropriately as authorized by contract or law,"Ashton & Weinberg, Inc.",PA,190XX,,Consent provided,Web,02/11/2016,Closed with explanation,No,No,1779494
9/19/16,Consumer Loan,Installment loan,Managing the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NJ,7849,,N/A,Referral,9/21/16,Closed with explanation,Yes,No,2119028
9/17/13,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian Information Solutions Inc.,IL,60409,,N/A,Postal mail,10/01/2013,Closed with non-monetary relief,Yes,No,530196
6/21/16,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Selene Finance LP,NJ,7852,,N/A,Referral,6/22/16,Closed with explanation,Yes,No,1978914
04/06/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,During an inquiry about buying a home the potential lender informed me that my FICO scores were not high enough because Debt Recovery Solutions recently opened a new collection dated XX/XX/XXXX for XXXX. I have NEVER received a single notification of this debt so I called them and asked them what it was for. I was informed that it was for XXXX during the periods of XX/XX/XXXX to XX/XX/XXXX. I asked him how to get rid of it and she started screaming at me that the only way to get rid of it was to pay it or they would sue me. This is the second time they are reporting it with different dates to different bureaus. They reported it inaccurately to XXXX as originating in XX/XX/XXXX and last activity was in XX/XX/XXXX. For that account and the new one they have not allowed me to validate the debt to inform that that it is way past the Statute of Limitations and that I did not agree with XXXX 10 years ago. They have re-aged the account to make it look like it just happened in the last 3 months and it dropped my scores.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Debt Recovery Solutions, LLC",CA,923XX,,Consent provided,Web,04/06/2017,Closed with explanation,Yes,No,2423049
10/28/14,Bank account or service,Checking account,Deposits and withdrawals,,,,"CITIBANK, N.A.",NY,10010,Older American,N/A,Postal mail,11/03/2014,Closed with explanation,Yes,Yes,1088699
07/12/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I have been refinanced my mortgage with AmeriSave Mortgage Corporation on XXXX 2016. Then I told XXXX XXXX XXXX and XXXX XXXX XXXX that I will pay a Property Tax and Home Insurance by myself. But XXXX XXXX and XXXX XXXX and their company did not agreed it. They forced me to gave money to them and they told me that they will pay Property Tax and Home Insurance for me. Then I sent my money to them and they collected my money but they did not pay Property Tax for my home. Today, I got a bill with interest, and late charge from XXXX XXXX XXXX as following : Base Tax : {$830.00} Late Charge : {$16.00} Interest : {$58.00} I am trying to contact them but they told me that they did not have collected a money for Property Tax and Home Insurance. I would like to know that are they a scam company or not?",Company believes the complaint is the result of a misunderstanding,AMERISAVE MORTGAGE CORPORATION,ID,837XX,,Consent provided,Web,7/20/16,Closed with explanation,Yes,Yes,2006994
05/01/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,UNITED SERVICES AUTOMOBILE ASSOCIATION,MO,63645,Servicemember,N/A,Phone,05/05/2014,Closed with monetary relief,Yes,No,834181
03/06/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",FL,32226,,N/A,Phone,03/06/2017,Closed with explanation,Yes,No,2373314
01/12/2016,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"I had filed and was awarded bankruptcy in XX/XX/XXXX. Included in the bankruptcy was a home that had been awarded to my ex-spouse during the divorce under XXXX XXXX. My credit report shows the loan was discharged due to bankruptcy in XX/XX/XXXX and XXXX discontinued reporting on my credit report. 
My ex-spouse had stopped making payments on the house and subsequently, the loan company started foreclosure proceedings. I was no longer responsible for the loan, with the discharged bankruptcy on court record however, in XX/XX/XXXX, XXXX XXXX sold the loan to another company, Caliber Home Loans. Caliber proceeded to put me back on the mortgage, even with the discharged bankruptcy and began reporting on my credit report XX/XX/XXXX that the loan was over 180 days past due. I contacted Caliber, gave them my bankruptcy information, my attorney 's information and asked them to remove the information from my credit report. I was not a part of that loan when they acquired it in XX/XX/XXXX as the discharge was in XX/XX/XXXX. They have failed to do so even at the request of my attorney, proof of the bankruptcy discharge and request of myself. The are still reporting on my credit report.",,"Caliber Home Loans, Inc.",NV,897XX,,Consent provided,Web,01/12/2016,Closed with explanation,Yes,No,1736556
03/06/2012,Bank account or service,Checking account,Problems caused by my funds being low,,,,WELLS FARGO & COMPANY,TX,78413,,N/A,Web,03/07/2012,Closed without relief,Yes,Yes,31170
08/11/2015,Debt collection,Auto,Disclosure verification of debt,Not given enough info to verify debt,"Credit Solutions Corp. a collection agency, purchased my debt from XXXX XXXX XXXX, a sum of {$7300.00}. The date of last payment on this debt is XXXX XXXX, which means this debt ages off my credit report in XXXX XXXX. However, Credit Solutions Corp. have erroneously recorded the date of last payment as XXXX, XXXX. This is impossible as I was living overseas at the time and made no payment after XXXX XXXX. There was no activity on this XXXX XXXX XXXX account after that date. Please see attached files showing the correct dates as reported by XXXX XXXX XXXX, and the incorrect dates as reported by Credit Solutions Corp . I have attempted debt validation with all XXXX credit reporting agencies, in addition to requesting the error fixed directly with Credit Solutions Corp. with no success. I believe Credit Solution Corp is in violation Federal Fair Credit Reporting Act on this manner.",,Servatus Corporation,CA,945XX,,Consent provided,Web,08/11/2015,Closed with non-monetary relief,Yes,No,1512504
04/07/2016,Credit card,,Late fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,11570,Older American,Consent not provided,Web,04/11/2016,Closed with non-monetary relief,Yes,No,1868796
10/05/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"In an attempt to retrieve my free credit report from all XXXX of the major credit companies ( XXXX issued a warning ) I was able to obtain my credit reports from XXXX and XXXX without a glitch. However, when I attempted to retrieve my report from Equifax, I was told that they were unable to deliver my free report online without explanation nor a customer support number so that I may inquire myself. After searching their website it is apparent they do not want me to call and only offer this service if I sign up and pay for something. Quite frankly I believe I am owed an explanation for not being able to view my account information and as XXXX of the major credit reporting companies they should have customer service freely available to answer any questions not hide behind a service I need to sign up and pay for.",,"EQUIFAX, INC.",NM,871XX,,Consent provided,Web,10/05/2016,Closed with explanation,Yes,No,2146189
3/26/16,Credit card,,Closing/Cancelling account,,"My Barclays XXXX XXXX was closed without any prior notice and without any reason whatsoever. When I called I was told that my heavy usage caused it to be closed. Barclays was being deceptive with their business practices in promoting a credit card with rewards and asking me to put all my spend on it to create more points and then shutting down my account with no prior notice and not allowing me to redeem my rewards. I believe that 's not the way to treat a costumer you lured in with false promises. I was doing normal spending and my account was closed because I share the same address as my husband which was the XXXX doing the heavy spending, how is that fair I ask?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,CO,802XX,,Consent provided,Web,3/31/16,Closed with monetary relief,Yes,No,1851413
5/30/13,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Ditech Financial LLC,WA,98051,Older American,N/A,Web,06/03/2013,Closed with explanation,Yes,No,419919
3/13/13,Bank account or service,Checking account,Problems caused by my funds being low,,,,PNC Bank N.A.,PA,19050,,N/A,Web,3/14/13,Closed with monetary relief,Yes,No,353561
10/16/15,Credit reporting,,Incorrect information on credit report,Information is not mine,Experian is not responding to any of my requests to investigate and remove accounts from my credit report that were opened fraudulently.,Company chooses not to provide a public response,Experian Information Solutions Inc.,NM,875XX,,Consent provided,Web,10/16/15,Closed with explanation,Yes,No,1611002
8/28/12,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48228,,N/A,Postal mail,8/29/12,Closed with explanation,Yes,Yes,143351
06/08/2015,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,SYNCHRONY FINANCIAL,CA,92606,,Consent not provided,Web,06/11/2015,Closed with explanation,Yes,Yes,1411295
6/14/14,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Allied Interstate LLC,CO,80112,,N/A,Web,6/14/14,Closed with non-monetary relief,Yes,No,895469
3/30/15,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"Seterus, Inc.",FL,33178,,N/A,Fax,04/02/2015,Closed with explanation,Yes,No,1306975
04/08/2015,Credit card,,Other,,,,JPMORGAN CHASE & CO.,CA,95746,,Consent not provided,Web,04/08/2015,Closed with explanation,Yes,Yes,1321819
1/15/15,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,ENCORE CAPITAL GROUP INC.,CA,94519,,N/A,Web,1/15/15,Closed with explanation,Yes,No,1194331
04/12/2017,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,CA,95825,,N/A,Referral,4/13/17,Closed with explanation,Yes,No,2432216
7/16/15,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,Company chooses not to provide a public response,"CITIBANK, N.A.",WA,98944,,N/A,Referral,7/23/15,Closed with explanation,Yes,No,1472901
12/22/14,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",VA,23235,,N/A,Web,12/24/14,Closed with explanation,Yes,Yes,1166075
10/24/15,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,"I was working with a company called XXXX for about a year itended up costing me XXXX dollars and it did not get it all taken care of. 
My husband and I owed XXXX to the IRS it was paid back and showed upon my credit report that it was n't so I asked for help and it came off ofXXXX, XXXX, but not off of Equifax so now I hope you can help meme.",,"EQUIFAX, INC.",FL,342XX,,Consent provided,Web,10/24/15,Closed with explanation,Yes,No,1623418
03/10/2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,AES/PHEAA,CT,6422,,Consent not provided,Web,03/11/2016,Closed with explanation,Yes,No,1826604
2/17/17,Consumer Loan,Vehicle loan,Taking out the loan or lease,,"We have been paying this loan for a year now and still have the same balance as we did when we began! We understand that there is interest but it seems grossly unfair that none of the payments we made have been applied to the principal. We got this loan during a very rough time and were told later that it is not really a "" loan '' but a "" pawn ''. We seek justice in this matter and would like to be released from this "" pawn '' and for the debt to be considered satisfied as we have paid the loan off more than twice.",,TMX Finance LLC,GA,303XX,,Consent provided,Web,2/22/17,Closed with explanation,Yes,No,2349166
3/28/17,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"Carter-Young, Inc.",GA,30907,,Consent not provided,Web,3/28/17,Closed with explanation,No,No,2405189
3/13/17,Bank account or service,Checking account,"Account opening, closing, or management",,,,COMMERCE BANK,KS,67846,,N/A,Referral,3/15/17,Closed with explanation,Yes,No,2383500
8/20/15,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"Letter from XXXX in response to identity theft : XXXX XXXX XXXX XXXX XXXX, IN XXXX Number : XXXX XXXX XXXX, Thank you for contacting XXXX XXXX. It was my pleasure to have assisted you in completing your case. 

An Extended 7 Year Fraud Victim Statement has been added to your credit report as of XXXX/XXXX/2015. This alert will encourage creditors to contact you before approving new applications. 

It is also suggested you report your identity theft case to the Federal Trade Commission. You may contact the Federal Trade Commission by calling XXXX or obtain more information on their website at http XXXX 

I have also attached fraud dispute letters for you to submit to Equifax and XXXX. Please review, sign, and include your full Social Security Number and Date of Birth at the bottom of each letter, along with a copy of a Police Report. Including a copy of the Police Report with the dispute letters is highly encouraged and suggested. You may also include an Email Address so that the credit bureaus can send the results of your investigations directly by email. 

We recommend sending your correspondence certified, return receipt, but you may also send it by regular U.S. Postal Mail to : EQUIFAXXXXX Information ServicesXXXX XXXX XXXX, GA XXXX Victim AssistanceXXXX XXXX, PA XXXX followed this advice and sent the following letter to Equifax along with copy of police report : Equifax Credit Information ServicesXXXX XXXX, GA XXXX Whom It May Concern : This is a follow up letter to the phone call I placed to XXXX XXXX XXXX regarding the fraudulent activity that is listed on my credit report. 

Fraudulent Inquiry : XXXX XXXX/XXXX/2015 - This is not my inquiry. This inquiry was applied for fraudulently by someone using my personal information without my knowledge or authorization. I have already contacted this company to alert them of this fraud. Please remove this from my report. 

Once the fraudulent information has been deleted, please send me a copy of my corrected credit report. If you have any questions I can be reached at ( XXXX ) XXXX. I look forward to hearing from you soon. 

Sincerely, XXXX XXXX XXXX XXXX XXXX, IN XXXX : XXXXXXXXXXXX : XXXXDOB : XXXX response to this was as follows : XXXX We have reviewed the inquiry information for XXXX. The results are : Inquiries are a factualrecord of file access. Should you have reason to believe this inquiry was unauthorized, Please contact the creditordirectly and follow their internal fraud procedures. If you have additional questions about this item please contact : XXXX, XXXX XXXX XXXX XXXX , XXXX XXXX, MN XXXX Phone : ( XXXX ) XXXX COMPLAINT : EQUIFAX DID NOT PROPERLY RESEARCH THIS INCIDENT OF IDENTITY THEFT AND DID NOT DELETE THIS FROM MY CREDIT REPORT.",,"EQUIFAX, INC.",IN,460XX,,Consent provided,Web,8/20/15,Closed with explanation,Yes,No,1528259
03/07/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes the complaint is the result of a misunderstanding,"Esser, James & Associates",FL,33916,,N/A,Web,3/19/15,Closed with explanation,Yes,No,1274951
07/07/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,OR,972XX,,Other,Web,07/08/2015,Closed with explanation,Yes,Yes,1455843
10/25/16,Credit card,,Other,,"On XX/XX/2016 I purchased XXXX items from XXXX worth {$47.00}. There were few major issues:1 ) XXXX does n't have an order summary screen which shows at what address it is going to ship the items.So the order got shipped to wrong/old address. 2 ) I need to make numerous calls and send emails to get it fixed and spent close to 3.4 to 4 hours but still I did n't got my order and finally got the refund in the form of XXXX bucks. 3 ) XXXX send the entire XXXX digit credit card number rather than customer 's first name and last name. this is major security breach as they are exposing the entire PII data which can be really dangenerous. 4 ) when i told this to XXXX and law enforcement agencies about this data breach issue - XXXX retaliated and closed my account 5 ) As and when any refunds used to happen - XXXX used to refund the money not in discover card but as groupon bucks. XXXX abruptly closed my account and all my XXXX bucks ( which is real money ) is also gone. When i wrote this to XXXX they have n't responded. 6 ) Also reached out to Discover regarding the dispute and they are simply passing the blame to XXXX and doing nothing. Moreover Discover is not going to do something serious against their preferred partner ( XXXX ) for the credit card number breach,",,DISCOVER BANK,AZ,852XX,,Consent provided,Web,10/25/16,Closed with explanation,Yes,Yes,2178540
06/02/2014,Credit card,,Billing disputes,,,,AMERICAN EXPRESS COMPANY,NY,11030,Older American,N/A,Web,06/02/2014,Closed with explanation,Yes,Yes,877237
6/19/12,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of China USA,NY,10038,,N/A,Web,6/25/12,Closed,Yes,No,104322
12/30/15,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"In 2014, I went to the XXXX Dealership to shop for a car, and they sent my credit report to several bank 's, which created multiple hard inquiries on my account. I did eventually purchase a car from them this summer, and specifically requested they would not send my information to several banks, as it seriously has set my credit score back. After reading about hard inquiries, I found that it may take up to two years for them to come off my credit report. This is frustrating me still, and my credit score is not improving by much, since the inquiries will not come off till XX/XX/XXXX.",,"EQUIFAX, INC.",FL,329XX,,Consent provided,Web,12/30/15,Closed with explanation,Yes,No,1720149
12/24/13,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, LLC.",TX,75771,,N/A,Web,12/24/13,Closed with explanation,Yes,No,645022
12/28/15,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,Experian is reporting inaccurate information on my Credit report and said information does not belong to me. Experian has re-aged the inaccurate information on my credit since 1998 and is in violation of several federal laws. The information does not belong to me.,Company chooses not to provide a public response,Experian Information Solutions Inc.,GA,303XX,,Consent provided,Web,12/31/15,Closed with explanation,Yes,Yes,1718637
05/05/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,WA,98025,,N/A,Postal mail,05/07/2014,Closed with explanation,Yes,No,837808
10/29/12,Bank account or service,Checking account,Deposits and withdrawals,,,,U.S. BANCORP,CO,80817,,N/A,Referral,11/01/2012,Closed with explanation,Yes,Yes,180971
5/16/17,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",TX,77044,,Consent not provided,Web,5/16/17,Closed with explanation,Yes,N/A,2485430
11/25/14,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",TX,77545,,N/A,Postal mail,12/11/2014,Closed with explanation,Yes,No,1131721
02/12/2016,Prepaid card,General purpose card,Fraud or scam,,,,AMERICAN EXPRESS COMPANY,OR,97007,,Consent not provided,Web,2/17/16,Closed with monetary relief,Yes,No,1786097
04/10/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,REGIONS FINANCIAL CORPORATION,FL,32224,Older American,N/A,Phone,04/12/2013,Closed,Yes,No,379219
12/28/15,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,"Optio Solutions, LLC",OH,44512,Servicemember,Consent not provided,Web,1/13/16,Closed with explanation,Yes,No,1717652
11/15/16,Consumer Loan,Vehicle lease,Shopping for a loan or lease,,"I leased a Nissan Sentra for my daughter from XXXX XXXX in XXXX. My daughter lives XXXX The vehicle was registered in XXXX. Nissan Motor Acceptance Corporation paid XXXX State Tax on the vehicle and billed me for that Tax. I live in XXXX. I worked with XXXX and NMAC for several years attempting to resolve the issue. XXXX noted that the issue seems to have been resolved by NMAC. This was in XXXX of 2013. Recently I approached my bank to get a loan to buy out a lease. The loan was denied because NMAC put a note on my credit report advising that I did not pay for these taxes. I am not sure what to do at this point. I have contacted an attorney. He advised that I should file this complaint first, get a number so that we may proceed with legal action against NMAC and XXXX.",,NISSAN MOTOR ACCEPTANCE CORPORATION,VA,201XX,,Consent provided,Web,11/15/16,Closed with explanation,Yes,No,2209192
1/17/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"Wells Fargo charged off my student loan in error XX/XX/XXXX. My payment compliance history was stellar. They ignored my calls about the error until XX/XX/XXXX. Wells Fargo then requested my cooperation in paying arbitrary amounts over several months necessary for their system to reinstate my account, which I accommodated. Wells Fargo charged my account off again XX/XX/XXXX and again are ignoring my request for correction. This is damaging my credit again!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MI,482XX,,Consent provided,Web,1/18/17,Closed with explanation,No,No,2291128
09/04/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"EQUIFAX, INC.",CA,93705,,N/A,Web,09/04/2013,Closed with explanation,Yes,No,513723
08/12/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,GREAT LAKES,PA,16316,,N/A,Web,08/12/2014,Closed with monetary relief,Yes,No,980981
2/23/17,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"ECMC Group, Inc.",WA,98251,,N/A,Fax,2/28/17,Closed with explanation,Yes,No,2357085
8/27/14,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,MI,48390,,N/A,Web,09/02/2014,Closed with explanation,Yes,No,1003804
10/08/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,MN,55428,,Consent not provided,Web,10/09/2015,Closed with explanation,Yes,No,1598408
09/11/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,TX,77082,,N/A,Web,09/11/2014,Closed with explanation,Yes,No,1024427
9/29/12,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,78504,,N/A,Web,10/01/2012,Closed with explanation,Yes,No,161443
06/10/2016,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,VA,23323,,Consent not provided,Web,06/10/2016,Closed with explanation,Yes,No,1964052
1/26/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,"I am a cosigner on my daughter 's student loans. As outlined in the pending suites we have been victimized by Navient 's unfair, deceptive and predatory business practices. On numerous occasions Navient has not been helpful in trying to resolve issues and, as noted in the various government complaints, tried to steered us into more costly forbearance. There have also been instances where monies have been misapplied to loans. I have been trying to work out a plan of action to get current with Navient but have encountered resistance at each turn. I also feel i have been outright lied to concerning information on payment postings.",,"Navient Solutions, LLC.",GA,303XX,,Consent provided,Web,1/26/17,Closed with explanation,Yes,No,2312091
3/31/17,Credit card,,Billing disputes,,"I had a dispute in the amount of {$240.00} with XXXX XXXX on my card ending in XXXX with the merchant. The most recent dispute reference number is XXXX. I detailed in the most recent dispute that the merchant was contacted to attempt to resolve this problem and they ignored my contacts. The merchant was supposed to fix a check engine light and did not do so, and I was billed. American Express is refusing to honor the Fair Credit Billing Act in refusing to provide a credit for services not properly rendered. American Express has not given me ample opportunity to tell my side of the story and refuses to refund the charge when a refund is due.",,AMERICAN EXPRESS COMPANY,CA,926XX,,Consent provided,Web,3/31/17,Closed with explanation,Yes,Yes,2413397
7/29/13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92103,,N/A,Referral,08/02/2013,Closed with non-monetary relief,Yes,No,469656
3/26/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,NV,89509,,N/A,Phone,3/31/15,Closed with non-monetary relief,Yes,No,1302387
3/23/16,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",WA,98006,,Consent not provided,Web,3/23/16,Closed with explanation,Yes,No,1845318
3/16/14,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"EQUIFAX, INC.",NY,12305,,N/A,Web,3/16/14,Closed with explanation,Yes,No,760164
6/18/12,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,19460,,N/A,Referral,6/20/12,Closed with explanation,No,No,103279
10/26/16,Consumer Loan,Vehicle loan,Managing the loan or lease,,"Payments to Toyota Financial Services set up by me as auto BANK payments, however TFS has repeatedly charged late fees even though I have bank documentation of the date DELIVERED BY. 
Fees are & gt ; {$35.00} for a monthly payments of {$750.00}. The next month an additional {$15.00} is charged. 
XXXX",,TOYOTA MOTOR CREDIT CORPORATION,CA,945XX,Older American,Consent provided,Web,10/26/16,Closed with explanation,Yes,No,2179753
12/04/2012,Credit card,,APR or interest rate,,,,U.S. BANCORP,IL,62902,Older American,N/A,Web,12/04/2012,Closed with explanation,Yes,No,202879
09/10/2014,Credit card,,Closing/Cancelling account,,,,SYNCHRONY FINANCIAL,TX,75024,,N/A,Referral,9/15/14,Closed with explanation,Yes,No,1022461
02/08/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,ID,83204,,N/A,Web,02/08/2015,Closed with non-monetary relief,Yes,No,1230481
12/18/15,Credit card,,Other fee,,,,TD BANK US HOLDING COMPANY,NJ,8887,,Consent not provided,Web,12/18/15,Closed with explanation,Yes,No,1709410
5/14/12,Credit card,,Closing/Cancelling account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33559,,N/A,Referral,5/16/12,Closed without relief,Yes,No,77498
7/29/14,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,NY,11746,,N/A,Web,7/29/14,Closed with explanation,Yes,No,958850
9/21/15,Credit card,,Other fee,,"I live in New York XXXX and I have a Bank of America credit card which I used to book my travel XXXX, through XXXX Airways, online. 
To my surprise, I saw in my CC statement, that BoA has charged me XXXX Transaction fee even though the transaction was in XXXX XXXX as confirmed with XXXX Airways, and as stated in the invoice from XXXX Airways XXXX. I tried contacting the Bank through online chat, through calls and even walked over to the Bank. But the response from them was for me to check the Credit Card agreement which clearly states that the Bank would charge me a XXXX transaction fee. I however, kept repeating that this was not a XXXX transaction since the payment to XXXX Airways was in XXXX and not in XXXX. 
XXXX of their executives in the Claims department went on to say that because i was flying outside XXXX they consider it a XXXX transaction. Which does not make any sense to me. 
A XXXX transaction would be one where my Bank would have to pay to the vendor in a currency different from XXXX. That did not happen here.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,100XX,,Consent provided,Web,9/21/15,Closed with monetary relief,Yes,No,1572547
3/26/14,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,AES/PHEAA,MO,63138,,N/A,Web,3/30/14,Closed with explanation,Yes,No,779399
2/24/14,Credit card,,Rewards,,,,JPMORGAN CHASE & CO.,NY,10805,,N/A,Web,2/24/14,Closed with explanation,Yes,Yes,728624
9/17/15,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,"CITIBANK, N.A.",GA,31403,Older American,N/A,Phone,9/18/15,Closed with explanation,Yes,No,1568883
02/03/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Seterus can not seem to calculate the escrow payment properly. The escrow balance is {$500.00} to {$700.00} short each year. They want me to pay a lump sum rather than charge the proper amount. An alternate to paying the lump sum, they add the shortage to my principle balance spread out three years. This causes my principle to decrease at a snails pace. I called last year and advised them the "" new '' escrow was not enough to cover the year without going less than the XXXX and even it goes negative XXXX or three times during the year. They have to borrow from somewhere to pay the county taxes or hazard insurance and the person I talked to seemed to think that was OK.",,"Seterus, Inc.",MD,208XX,,Consent provided,Web,02/03/2017,Closed with explanation,Yes,No,2324374
11/22/12,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,99205,,N/A,Web,11/26/12,Closed with explanation,Yes,No,195798
9/20/16,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",FL,34953,,Consent not provided,Web,9/23/16,Closed with explanation,Yes,No,2121766
10/16/14,Credit card,,Credit card protection / Debt protection,,,,SYNCHRONY FINANCIAL,NY,11214,,N/A,Web,10/22/14,Closed with explanation,Yes,No,1073710
7/17/14,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"QUICKEN LOANS, INC.",OK,73750,,N/A,Web,7/17/14,Closed with explanation,Yes,No,941811
2/26/14,Bank account or service,Checking account,Problems caused by my funds being low,,,,WELLS FARGO & COMPANY,FL,32814,,N/A,Web,2/26/14,Closed with monetary relief,Yes,No,734069
